rank,arm_id,gp_cap,adaptive_ess_target,negative_alpha,execution_rule,best_round,J,SR,CR,timeout,minimum_clearance,elapsed_seconds
1,cap512_ess025_alpha0010_cost,512,0.25,0.01,nominal_hp_safemppi_cost,19,0.857142857142857,1.0,0.0,0.0,0.056365811627463035,2041.8141222000122
2,cap768_ess025_alpha0000_cost,768,0.25,0.0,nominal_hp_safemppi_cost,19,0.857142857142857,1.0,0.0,0.0,0.05448934663109269,2235.581137418747
3,cap768_ess025_alpha0001_cost,768,0.25,0.001,nominal_hp_safemppi_cost,20,0.857142857142857,1.0,0.0,0.0,0.050618013799269675,2226.31077337265
4,cap512_ess050_alpha0001_margin,512,0.5,0.001,nominal_hp_max_step_margin,19,0.8285714285714285,1.0,0.0,0.0,0.056061586883878876,2412.686093568802
5,cap768_ess050_alpha0000_margin,768,0.5,0.0,nominal_hp_max_step_margin,20,0.8285714285714285,1.0,0.0,0.0,0.05282843183605811,2789.884248495102
6,cap512_ess050_alpha0000_margin,512,0.5,0.0,nominal_hp_max_step_margin,19,0.8285714285714285,1.0,0.0,0.0,0.05136626568113335,2290.07532787323
7,cap768_ess050_alpha0000_cost,768,0.5,0.0,nominal_hp_safemppi_cost,16,0.8285714285714285,0.9857142857142858,0.014285714285714285,0.0,0.051910335108882336,1945.1325008869171
8,cap512_ess025_alpha0000_margin,512,0.25,0.0,nominal_hp_max_step_margin,16,0.8285714285714285,0.9857142857142858,0.014285714285714285,0.0,0.04263822918137539,3077.1200771331787
9,cap768_ess050_alpha0010_margin,768,0.5,0.01,nominal_hp_max_step_margin,19,0.7999999999999999,1.0,0.0,0.0,0.055423809731279326,2842.9044556617737
10,cap512_ess050_alpha0010_margin,512,0.5,0.01,nominal_hp_max_step_margin,20,0.7999999999999999,1.0,0.0,0.0,0.052205593217280924,3094.674495458603
11,cap768_ess050_alpha0001_margin,768,0.5,0.001,nominal_hp_max_step_margin,14,0.7999999999999999,1.0,0.0,0.0,0.05109038750334448,2872.1219561100006
12,cap768_ess050_alpha0001_cost,768,0.5,0.001,nominal_hp_safemppi_cost,20,0.7999999999999999,0.9857142857142858,0.014285714285714285,0.0,0.05610802943579616,2167.729047060013
13,cap512_ess050_alpha0010_cost,512,0.5,0.01,nominal_hp_safemppi_cost,16,0.7999999999999999,0.9857142857142858,0.014285714285714285,0.0,0.05133859198229963,2036.540626525879
14,cap512_ess050_alpha0000_cost,512,0.5,0.0,nominal_hp_safemppi_cost,17,0.7999999999999999,0.9857142857142858,0.014285714285714285,0.0,0.049182051185743765,1885.5936906337738
15,cap512_ess050_alpha0001_cost,512,0.5,0.001,nominal_hp_safemppi_cost,18,0.7999999999999999,0.9857142857142858,0.014285714285714285,0.0,0.04846506080400441,2032.9404003620148
16,cap768_ess025_alpha0001_margin,768,0.25,0.001,nominal_hp_max_step_margin,14,0.7999999999999999,0.9857142857142858,0.014285714285714285,0.0,0.04641415183957594,3185.8011498451233
17,cap768_ess025_alpha0010_cost,768,0.25,0.01,nominal_hp_safemppi_cost,20,0.7999999999999999,0.9857142857142858,0.014285714285714285,0.0,0.04522220916903133,2030.6414070129395
18,cap512_ess025_alpha0001_margin,512,0.25,0.001,nominal_hp_max_step_margin,16,0.7999999999999999,0.9857142857142858,0.014285714285714285,0.0,0.04013662746466678,3136.909507036209
19,cap768_ess025_alpha0000_margin,768,0.25,0.0,nominal_hp_max_step_margin,16,0.7714285714285715,0.9428571428571428,0.05714285714285714,0.0,0.040250568895468485,3027.112368106842
20,cap768_ess050_alpha0010_cost,768,0.5,0.01,nominal_hp_safemppi_cost,20,0.7714285714285714,0.9857142857142858,0.014285714285714285,0.0,0.055058996315320054,2104.977524280548
21,cap768_ess025_alpha0010_margin,768,0.25,0.01,nominal_hp_max_step_margin,15,0.7714285714285714,0.9857142857142858,0.014285714285714285,0.0,0.0431182302735692,3177.475550174713
22,cap512_ess025_alpha0000_cost,512,0.25,0.0,nominal_hp_safemppi_cost,19,0.7714285714285714,0.9571428571428572,0.04285714285714286,0.0,0.05036435460767423,1946.363974571228
23,cap512_ess025_alpha0010_margin,512,0.25,0.01,nominal_hp_max_step_margin,15,0.7714285714285714,0.9428571428571428,0.05714285714285714,0.0,0.041338176054296696,2631.234627723694
24,cap512_ess025_alpha0001_cost,512,0.25,0.001,nominal_hp_safemppi_cost,19,0.7428571428571429,0.9714285714285714,0.02857142857142857,0.0,0.04122967309305347,2102.435109615326
